     #Energy       W_all      Mo_all      Pd_all      Ti_all
   -74.12832     0.00000     0.00000     0.00000     0.00000
   -74.11732     0.00000     0.00000     0.00000     0.00000
   -74.10632     0.00000     0.00000     0.00000     0.00000
   -74.09632     0.00000     0.00000     0.00000     0.00000
   -74.08532     0.00000     0.00000     0.00000     0.00000
   -74.07432     0.00000     0.00000     0.00000     0.00000
   -74.06432     0.00000     0.00000     0.00000     0.00000
   -74.05332     0.00000     0.00000     0.00000     0.00000
   -74.04232     0.00000     0.00000     0.00000     0.00000
   -74.03232   187.08975     0.00973     0.00222     0.00003
   -74.02132     0.00000     0.00000     0.00000     0.00000
   -74.01032     0.00000     0.00000     0.00000     0.00000
   -74.00032   187.22547     0.00944     0.00296     0.00001
   -73.98932     0.00000     0.00000     0.00000     0.00000
   -73.97832   187.11270     0.00551     0.00375     0.00033
   -73.96832     0.00000     0.00000     0.00000     0.00000
   -73.95732     0.00000     0.00000     0.00000     0.00000
   -73.94632   187.09363     0.00799     0.00213     0.00001
   -73.93632     0.00000     0.00000     0.00000     0.00000
   -73.92532     0.00000     0.00000     0.00000     0.00000
   -73.91432   187.18947     0.00764     0.00250     0.00009
   -73.90432     0.00000     0.00000     0.00000     0.00000
   -73.89332     0.00000     0.00000     0.00000     0.00000
   -73.88232     0.00000     0.00000     0.00000     0.00000
   -73.87232     0.00000     0.00000     0.00000     0.00000
   -73.86132     0.00000     0.00000     0.00000     0.00000
   -73.85032  6118.63993     0.15745     0.08860     0.02130
   -73.84032   191.96876     0.00590     0.00242     0.00073
   -73.82932     0.00000     0.00000     0.00000     0.00000
   -73.81832     0.00000     0.00000     0.00000     0.00000
   -73.80832   374.22623     0.01334     0.00471     0.00169
   -73.79732     0.00000     0.00000     0.00000     0.00000
   -73.78632  1118.27045     0.02854     0.01074     0.00490
   -73.77632    31.20094     0.00069     0.00032     0.00011
   -73.76532     0.00000     0.00000     0.00000     0.00000
   -73.75432   374.39187     0.00781     0.00484     0.00220
   -73.74432     0.00000     0.00000     0.00000     0.00000
   -73.73332   187.23559     0.00237     0.00254     0.00082
   -73.72232     0.00000     0.00000     0.00000     0.00000
   -73.71232   187.21496     0.00465     0.00267     0.00086
   -73.70132     0.00000     0.00000     0.00000     0.00000
   -73.69032     0.00000     0.00000     0.00000     0.00000
   -73.68032     0.00000     0.00000     0.00000     0.00000
   -73.66932   187.23262     0.00678     0.00256     0.00119
   -73.65832     0.00000     0.00000     0.00000     0.00000
