     #Energy       W_all      Mo_all      Re_all      Ti_all
   -79.19441     0.00000     0.00000     0.00000     0.00000
   -79.18241     0.00000     0.00000     0.00000     0.00000
   -79.17141     0.00000     0.00000     0.00000     0.00000
   -79.15941     0.00000     0.00000     0.00000     0.00000
   -79.14841     0.00000     0.00000     0.00000     0.00000
   -79.13641     0.00000     0.00000     0.00000     0.00000
   -79.12541     0.00000     0.00000     0.00000     0.00000
   -79.11341     0.00000     0.00000     0.00000     0.00000
   -79.10241     0.00000     0.00000     0.00000     0.00000
   -79.09041     0.00000     0.00000     0.00000     0.00000
   -79.07941     0.00000     0.00000     0.00000     0.00000
   -79.06741     0.00000     0.00000     0.00000     0.00000
   -79.05641     0.00000     0.00000     0.00000     0.00000
   -79.04441     0.00000     0.00000     0.00000     0.00000
   -79.03341     0.00000     0.00000     0.00000     0.00000
   -79.02141     0.00000     0.00000     0.00000     0.00000
   -79.01041     0.00000     0.00000     0.00000     0.00000
   -78.99841     0.00000     0.00000     0.00000     0.00000
   -78.98741     0.00000     0.00000     0.00000     0.00000
   -78.97641     0.00000     0.00000     0.00000     0.00000
   -78.96441     0.00000     0.00000     0.00000     0.00000
   -78.95341     0.00000     0.00000     0.00000     0.00000
   -78.94141     0.00000     0.00000     0.00000     0.00000
   -78.93041     0.00000     0.00000     0.00000     0.00000
   -78.91841     0.00000     0.00000     0.00000     0.00000
   -78.90741     0.00000     0.00000     0.00000     0.00000
   -78.89541     0.00000     0.00000     0.00000     0.00000
   -78.88441     0.00000     0.00000     0.00000     0.00000
   -78.87241     0.00000     0.00000     0.00000     0.00000
   -78.86141     0.00000     0.00000     0.00000     0.00000
   -78.84941     0.00000     0.00000     0.00000     0.00000
   -78.83841     0.00000     0.00000     0.00000     0.00000
   -78.82641     0.00000     0.00000     0.00000     0.00000
