     #Energy       W_all      Mo_all      Ir_all      Ti_all
   -73.50582     0.00000     0.00000     0.00000     0.00000
   -73.49482     0.00000     0.00000     0.00000     0.00000
   -73.48382     0.00000     0.00000     0.00000     0.00000
   -73.47382     0.00000     0.00000     0.00000     0.00000
   -73.46282     0.00000     0.00000     0.00000     0.00000
   -73.45182     0.00000     0.00000     0.00000     0.00000
   -73.44182     0.00000     0.00000     0.00000     0.00000
   -73.43082     0.00000     0.00000     0.00000     0.00000
   -73.41982     0.00000     0.00000     0.00000     0.00000
   -73.40982     0.00000     0.00000     0.00000     0.00000
   -73.39882     0.00000     0.00000     0.00000     0.00000
   -73.38782     0.00000     0.00000     0.00000     0.00000
   -73.37682     0.00000     0.00000     0.00000     0.00000
   -73.36682     0.00000     0.00000     0.00000     0.00000
   -73.35582     0.00000     0.00000     0.00000     0.00000
   -73.34482     0.00000     0.00000     0.00000     0.00000
   -73.33482     0.00000     0.00000     0.00000     0.00000
   -73.32382     0.00000     0.00000     0.00000     0.00000
   -73.31282     0.00000     0.00000     0.00000     0.00000
   -73.30282     0.00000     0.00000     0.00000     0.00000
   -73.29182     0.00000     0.00000     0.00000     0.00000
   -73.28082     0.00000     0.00000     0.00000     0.00000
   -73.27082     0.00000     0.00000     0.00000     0.00000
   -73.25982     0.00000     0.00000     0.00000     0.00000
   -73.24882     0.00000     0.00000     0.00000     0.00000
   -73.23782     0.00000     0.00000     0.00000     0.00000
   -73.22782     0.00000     0.00000     0.00000     0.00000
   -73.21682     0.00000     0.00000     0.00000     0.00000
   -73.20582     0.00000     0.00000     0.00000     0.00000
   -73.19582     0.00000     0.00000     0.00000     0.00000
   -73.18482     0.00000     0.00000     0.00000     0.00000
   -73.17382     0.00000     0.00000     0.00000     0.00000
   -73.16382     0.00000     0.00000     0.00000     0.00000
   -73.15282     0.00000     0.00000     0.00000     0.00000
   -73.14182     0.00000     0.00000     0.00000     0.00000
   -73.13182     0.00000     0.00000     0.00000     0.00000
   -73.12082     0.00000     0.00000     0.00000     0.00000
   -73.10982     0.00000     0.00000     0.00000     0.00000
   -73.09882     0.00000     0.00000     0.00000     0.00000
   -73.08882     0.00000     0.00000     0.00000     0.00000
   -73.07782     0.00000     0.00000     0.00000     0.00000
   -73.06682     0.00000     0.00000     0.00000     0.00000
   -73.05682     0.00000     0.00000     0.00000     0.00000
   -73.04582     0.00000     0.00000     0.00000     0.00000
   -73.03482     0.00000     0.00000     0.00000     0.00000
   -73.02482     0.00000     0.00000     0.00000     0.00000
   -73.01382     0.00000     0.00000     0.00000     0.00000
   -73.00282     0.00000     0.00000     0.00000     0.00000
   -72.99282     0.00000     0.00000     0.00000     0.00000
   -72.98182     0.00000     0.00000     0.00000     0.00000
   -72.97082     0.00000     0.00000     0.00000     0.00000
   -72.95982     0.00000     0.00000     0.00000     0.00000
   -72.94982     0.00000     0.00000     0.00000     0.00000
   -72.93882     0.00000     0.00000     0.00000     0.00000
   -72.92782     0.00000     0.00000     0.00000     0.00000
   -72.91782     0.00000     0.00000     0.00000     0.00000
   -72.90682     0.00000     0.00000     0.00000     0.00000
   -72.89582     0.00000     0.00000     0.00000     0.00000
   -72.88582     0.00000     0.00000     0.00000     0.00000
   -72.87482     0.00000     0.00000     0.00000     0.00000
   -72.86382     0.00000     0.00000     0.00000     0.00000
   -72.85382     0.00000     0.00000     0.00000     0.00000
   -72.84282     0.00000     0.00000     0.00000     0.00000
   -72.83182     0.00000     0.00000     0.00000     0.00000
   -72.82082     0.00000     0.00000     0.00000     0.00000
   -72.81082     0.00000     0.00000     0.00000     0.00000
   -72.79982     0.00000     0.00000     0.00000     0.00000
   -72.78882     0.00000     0.00000     0.00000     0.00000
   -72.77882     0.00000     0.00000     0.00000     0.00000
   -72.76782     0.00000     0.00000     0.00000     0.00000
