     #Energy       W_all      Mo_all      Re_all      Zr_all
   -79.23540     0.00000     0.00000     0.00000     0.00000
   -79.22340     0.00000     0.00000     0.00000     0.00000
   -79.21140     0.00000     0.00000     0.00000     0.00000
   -79.20040     0.00000     0.00000     0.00000     0.00000
   -79.18840     0.00000     0.00000     0.00000     0.00000
   -79.17740     0.00000     0.00000     0.00000     0.00000
   -79.16540     0.00000     0.00000     0.00000     0.00000
   -79.15440     0.00000     0.00000     0.00000     0.00000
   -79.14240     0.00000     0.00000     0.00000     0.00000
   -79.13040     0.00000     0.00000     0.00000     0.00000
   -79.11940     0.00000     0.00000     0.00000     0.00000
   -79.10740     0.00000     0.00000     0.00000     0.00000
   -79.09640     0.00000     0.00000     0.00000     0.00000
   -79.08440     0.00000     0.00000     0.00000     0.00000
   -79.07240     0.00000     0.00000     0.00000     0.00000
   -79.06140     0.00000     0.00000     0.00000     0.00000
   -79.04940     0.00000     0.00000     0.00000     0.00000
   -79.03840     0.00000     0.00000     0.00000     0.00000
   -79.02640     0.00000     0.00000     0.00000     0.00000
   -79.01540     0.00000     0.00000     0.00000     0.00000
   -79.00340     0.00000     0.00000     0.00000     0.00000
   -78.99140     0.00000     0.00000     0.00000     0.00000
   -78.98040     0.00000     0.00000     0.00000     0.00000
   -78.96840     0.00000     0.00000     0.00000     0.00000
   -78.95740     0.00000     0.00000     0.00000     0.00000
   -78.94540     0.00000     0.00000     0.00000     0.00000
   -78.93340     0.00000     0.00000     0.00000     0.00000
   -78.92240     0.00000     0.00000     0.00000     0.00000
   -78.91040     0.00000     0.00000     0.00000     0.00000
   -78.89940     0.00000     0.00000     0.00000     0.00000
   -78.88740     0.00000     0.00000     0.00000     0.00000
   -78.87640     0.00000     0.00000     0.00000     0.00000
   -78.86440     0.00000     0.00000     0.00000     0.00000
   -78.85240     0.00000     0.00000     0.00000     0.00000
   -78.84140     0.00000     0.00000     0.00000     0.00000
   -78.82940     0.00000     0.00000     0.00000     0.00000
   -78.81840     0.00000     0.00000     0.00000     0.00000
   -78.80640     0.00000     0.00000     0.00000     0.00000
   -78.79440     0.00000     0.00000     0.00000     0.00000
   -78.78340     0.00000     0.00000     0.00000     0.00000
   -78.77140     0.00000     0.00000     0.00000     0.00000
   -78.76040     0.00000     0.00000     0.00000     0.00000
   -78.74840     0.00000     0.00000     0.00000     0.00000
   -78.73740     0.00000     0.00000     0.00000     0.00000
   -78.72540     0.00000     0.00000     0.00000     0.00000
