     #Energy       W_all      Mo_all      Rh_all      Ti_all
   -74.57919     0.00000     0.00000     0.00000     0.00000
   -74.56919     0.00000     0.00000     0.00000     0.00000
   -74.55819     0.00000     0.00000     0.00000     0.00000
   -74.54819     0.00000     0.00000     0.00000     0.00000
   -74.53719     0.00000     0.00000     0.00000     0.00000
   -74.52719     0.00000     0.00000     0.00000     0.00000
   -74.51619     0.00000     0.00000     0.00000     0.00000
   -74.50519     0.00000     0.00000     0.00000     0.00000
   -74.49519     0.00000     0.00000     0.00000     0.00000
   -74.48419     0.00000     0.00000     0.00000     0.00000
   -74.47419     0.00000     0.00000     0.00000     0.00000
   -74.46319     0.00000     0.00000     0.00000     0.00000
   -74.45319     0.00000     0.00000     0.00000     0.00000
   -74.44219     0.00000     0.00000     0.00000     0.00000
   -74.43119     0.00000     0.00000     0.00000     0.00000
   -74.42119     0.00000     0.00000     0.00000     0.00000
   -74.41019     0.00000     0.00000     0.00000     0.00000
   -74.40019     0.00000     0.00000     0.00000     0.00000
   -74.38919     0.00000     0.00000     0.00000     0.00000
   -74.37819     0.00000     0.00000     0.00000     0.00000
   -74.36819     0.00000     0.00000     0.00000     0.00000
   -74.35719     0.00000     0.00000     0.00000     0.00000
   -74.34719     0.00000     0.00000     0.00000     0.00000
   -74.33619     0.00000     0.00000     0.00000     0.00000
   -74.32619     0.00000     0.00000     0.00000     0.00000
   -74.31519     0.00000     0.00000     0.00000     0.00000
   -74.30419     0.00000     0.00000     0.00000     0.00000
   -74.29419     0.00000     0.00000     0.00000     0.00000
   -74.28319     0.00000     0.00000     0.00000     0.00000
   -74.27319     0.00000     0.00000     0.00000     0.00000
   -74.26219     0.00000     0.00000     0.00000     0.00000
   -74.25219     0.00000     0.00000     0.00000     0.00000
   -74.24119     0.00000     0.00000     0.00000     0.00000
   -74.23019     0.00000     0.00000     0.00000     0.00000
   -74.22019     0.00000     0.00000     0.00000     0.00000
   -74.20919     0.00000     0.00000     0.00000     0.00000
   -74.19919     0.00000     0.00000     0.00000     0.00000
   -74.18819     0.00000     0.00000     0.00000     0.00000
   -74.17819     0.00000     0.00000     0.00000     0.00000
   -74.16719     0.00000     0.00000     0.00000     0.00000
   -74.15619     0.00000     0.00000     0.00000     0.00000
   -74.14619     0.00000     0.00000     0.00000     0.00000
   -74.13519     0.00000     0.00000     0.00000     0.00000
   -74.12519     0.00000     0.00000     0.00000     0.00000
   -74.11419     0.00000     0.00000     0.00000     0.00000
   -74.10419     0.00000     0.00000     0.00000     0.00000
   -74.09319     0.00000     0.00000     0.00000     0.00000
   -74.08219   188.61226     0.00746     0.00250     0.00009
   -74.07219   188.72031     0.00224     0.00276     0.00089
   -74.06119     0.00000     0.00000     0.00000     0.00000
   -74.05119     0.00000     0.00000     0.00000     0.00000
   -74.04019     0.00000     0.00000     0.00000     0.00000
   -74.03019   188.64868     0.00465     0.00378     0.00061
   -74.01919     0.00000     0.00000     0.00000     0.00000
   -74.00819     0.00000     0.00000     0.00000     0.00000
   -73.99819     0.00000     0.00000     0.00000     0.00000
   -73.98719     0.00000     0.00000     0.00000     0.00000
   -73.97719     0.00000     0.00000     0.00000     0.00000
   -73.96619     0.00000     0.00000     0.00000     0.00000
   -73.95619   188.66779     0.00660     0.00046     0.00084
   -73.94519     0.00000     0.00000     0.00000     0.00000
   -73.93419   188.67480     0.00801     0.00198     0.00128
   -73.92419     0.00000     0.00000     0.00000     0.00000
   -73.91319   188.69616     0.00718     0.00008     0.00008
   -73.90319     0.00000     0.00000     0.00000     0.00000
   -73.89219     0.00000     0.00000     0.00000     0.00000
   -73.88119   188.64472     0.00690     0.00145     0.00075
   -73.87119     0.00000     0.00000     0.00000     0.00000
   -73.86019   188.65472     0.00668     0.00075     0.00073
