     #Energy       W_all      Mo_all      Os_all      Hf_all
   -73.22792     0.00000     0.00000     0.00000     0.00000
   -73.21692     0.00000     0.00000     0.00000     0.00000
   -73.20592     0.00000     0.00000     0.00000     0.00000
   -73.19492     0.00000     0.00000     0.00000     0.00000
   -73.18392     0.00000     0.00000     0.00000     0.00000
   -73.17292     0.00000     0.00000     0.00000     0.00000
   -73.16192     0.00000     0.00000     0.00000     0.00000
   -73.15092     0.00000     0.00000     0.00000     0.00000
   -73.13992     0.00000     0.00000     0.00000     0.00000
   -73.12892     0.00000     0.00000     0.00000     0.00000
   -73.11792     0.00000     0.00000     0.00000     0.00000
   -73.10692     0.00000     0.00000     0.00000     0.00000
   -73.09592     0.00000     0.00000     0.00000     0.00000
   -73.08492     0.00000     0.00000     0.00000     0.00000
   -73.07392     0.00000     0.00000     0.00000     0.00000
   -73.06292     0.00000     0.00000     0.00000     0.00000
   -73.05192     0.00000     0.00000     0.00000     0.00000
   -73.04092     0.00000     0.00000     0.00000     0.00000
   -73.02992     0.00000     0.00000     0.00000     0.00000
   -73.01892     0.00000     0.00000     0.00000     0.00000
   -73.00792     0.00000     0.00000     0.00000     0.00000
   -72.99692     0.00000     0.00000     0.00000     0.00000
   -72.98592     0.00000     0.00000     0.00000     0.00000
   -72.97492     0.00000     0.00000     0.00000     0.00000
   -72.96292     0.00000     0.00000     0.00000     0.00000
   -72.95192     0.00000     0.00000     0.00000     0.00000
   -72.94092     0.00000     0.00000     0.00000     0.00000
   -72.92992     0.00000     0.00000     0.00000     0.00000
   -72.91892     0.00000     0.00000     0.00000     0.00000
   -72.90792     0.00000     0.00000     0.00000     0.00000
   -72.89692     0.00000     0.00000     0.00000     0.00000
   -72.88592     0.00000     0.00000     0.00000     0.00000
   -72.87492     0.00000     0.00000     0.00000     0.00000
   -72.86392     0.00000     0.00000     0.00000     0.00000
   -72.85292     0.00000     0.00000     0.00000     0.00000
   -72.84192     0.00000     0.00000     0.00000     0.00000
   -72.83092     0.00000     0.00000     0.00000     0.00000
   -72.81992     0.00000     0.00000     0.00000     0.00000
   -72.80892     0.00000     0.00000     0.00000     0.00000
   -72.79792     0.00000     0.00000     0.00000     0.00000
   -72.78692     0.00000     0.00000     0.00000     0.00000
