     #Energy       W_all      Mo_all      Os_all      Zr_all
   -77.13021     0.00000     0.00000     0.00000     0.00000
   -77.11921     0.00000     0.00000     0.00000     0.00000
   -77.10821     0.00000     0.00000     0.00000     0.00000
   -77.09721     0.00000     0.00000     0.00000     0.00000
   -77.08621     0.00000     0.00000     0.00000     0.00000
   -77.07521     0.00000     0.00000     0.00000     0.00000
   -77.06421     0.00000     0.00000     0.00000     0.00000
   -77.05321     0.00000     0.00000     0.00000     0.00000
   -77.04321     0.00000     0.00000     0.00000     0.00000
   -77.03221     0.00000     0.00000     0.00000     0.00000
   -77.02121     0.00000     0.00000     0.00000     0.00000
   -77.01021     0.00000     0.00000     0.00000     0.00000
   -76.99921     0.00000     0.00000     0.00000     0.00000
   -76.98821     0.00000     0.00000     0.00000     0.00000
   -76.97721     0.00000     0.00000     0.00000     0.00000
   -76.96621     0.00000     0.00000     0.00000     0.00000
   -76.95521     0.00000     0.00000     0.00000     0.00000
   -76.94421     0.00000     0.00000     0.00000     0.00000
   -76.93321     0.00000     0.00000     0.00000     0.00000
   -76.92321     0.00000     0.00000     0.00000     0.00000
   -76.91221     0.00000     0.00000     0.00000     0.00000
   -76.90121     0.00000     0.00000     0.00000     0.00000
   -76.89021     0.00000     0.00000     0.00000     0.00000
   -76.87921     0.00000     0.00000     0.00000     0.00000
   -76.86821     0.00000     0.00000     0.00000     0.00000
   -76.85721     0.00000     0.00000     0.00000     0.00000
   -76.84621     0.00000     0.00000     0.00000     0.00000
   -76.83521     0.00000     0.00000     0.00000     0.00000
   -76.82421     0.00000     0.00000     0.00000     0.00000
   -76.81321     0.00000     0.00000     0.00000     0.00000
   -76.80321     0.00000     0.00000     0.00000     0.00000
   -76.79221     0.00000     0.00000     0.00000     0.00000
   -76.78121     0.00000     0.00000     0.00000     0.00000
   -76.77021     0.00000     0.00000     0.00000     0.00000
   -76.75921     0.00000     0.00000     0.00000     0.00000
   -76.74821     0.00000     0.00000     0.00000     0.00000
   -76.73721     0.00000     0.00000     0.00000     0.00000
   -76.72621     0.00000     0.00000     0.00000     0.00000
   -76.71521     0.00000     0.00000     0.00000     0.00000
   -76.70421     0.00000     0.00000     0.00000     0.00000
   -76.69321     0.00000     0.00000     0.00000     0.00000
   -76.68321     0.00000     0.00000     0.00000     0.00000
   -76.67221     0.00000     0.00000     0.00000     0.00000
   -76.66121     0.00000     0.00000     0.00000     0.00000
   -76.65021     0.00000     0.00000     0.00000     0.00000
   -76.63921     0.00000     0.00000     0.00000     0.00000
   -76.62821     0.00000     0.00000     0.00000     0.00000
   -76.61721     0.00000     0.00000     0.00000     0.00000
   -76.60621     0.00000     0.00000     0.00000     0.00000
   -76.59521     0.00000     0.00000     0.00000     0.00000
   -76.58421     0.00000     0.00000     0.00000     0.00000
   -76.57321     0.00000     0.00000     0.00000     0.00000
   -76.56321     0.00000     0.00000     0.00000     0.00000
   -76.55221     0.00000     0.00000     0.00000     0.00000
   -76.54121     0.00000     0.00000     0.00000     0.00000
   -76.53021     0.00000     0.00000     0.00000     0.00000
   -76.51921     0.00000     0.00000     0.00000     0.00000
   -76.50821     0.00000     0.00000     0.00000     0.00000
   -76.49721     0.00000     0.00000     0.00000     0.00000
   -76.48621     0.00000     0.00000     0.00000     0.00000
   -76.47521     0.00000     0.00000     0.00000     0.00000
   -76.46421     0.00000     0.00000     0.00000     0.00000
   -76.45321     0.00000     0.00000     0.00000     0.00000
   -76.44321     0.00000     0.00000     0.00000     0.00000
   -76.43221     0.00000     0.00000     0.00000     0.00000
   -76.42121     0.00000     0.00000     0.00000     0.00000
   -76.41021     0.00000     0.00000     0.00000     0.00000
   -76.39921     0.00000     0.00000     0.00000     0.00000
   -76.38821     0.00000     0.00000     0.00000     0.00000
