     #Energy       W_all      Mo_all      Ru_all      Ti_all
   -73.39950     0.00000     0.00000     0.00000     0.00000
   -73.38850     0.00000     0.00000     0.00000     0.00000
   -73.37850     0.00000     0.00000     0.00000     0.00000
   -73.36750     0.00000     0.00000     0.00000     0.00000
   -73.35750     0.00000     0.00000     0.00000     0.00000
   -73.34650     0.00000     0.00000     0.00000     0.00000
   -73.33550     0.00000     0.00000     0.00000     0.00000
   -73.32550     0.00000     0.00000     0.00000     0.00000
   -73.31450     0.00000     0.00000     0.00000     0.00000
   -73.30450     0.00000     0.00000     0.00000     0.00000
   -73.29350     0.00000     0.00000     0.00000     0.00000
   -73.28250     0.00000     0.00000     0.00000     0.00000
   -73.27250     0.00000     0.00000     0.00000     0.00000
   -73.26150     0.00000     0.00000     0.00000     0.00000
   -73.25150     0.00000     0.00000     0.00000     0.00000
   -73.24050     0.00000     0.00000     0.00000     0.00000
   -73.22950     0.00000     0.00000     0.00000     0.00000
   -73.21950     0.00000     0.00000     0.00000     0.00000
   -73.20850     0.00000     0.00000     0.00000     0.00000
   -73.19850     0.00000     0.00000     0.00000     0.00000
   -73.18750     0.00000     0.00000     0.00000     0.00000
   -73.17650     0.00000     0.00000     0.00000     0.00000
   -73.16650     0.00000     0.00000     0.00000     0.00000
   -73.15550     0.00000     0.00000     0.00000     0.00000
   -73.14550     0.00000     0.00000     0.00000     0.00000
   -73.13450     0.00000     0.00000     0.00000     0.00000
   -73.12350     0.00000     0.00000     0.00000     0.00000
   -73.11350     0.00000     0.00000     0.00000     0.00000
   -73.10250     0.00000     0.00000     0.00000     0.00000
   -73.09150     0.00000     0.00000     0.00000     0.00000
   -73.08150     0.00000     0.00000     0.00000     0.00000
   -73.07050     0.00000     0.00000     0.00000     0.00000
   -73.06050     0.00000     0.00000     0.00000     0.00000
   -73.04950     0.00000     0.00000     0.00000     0.00000
   -73.03850     0.00000     0.00000     0.00000     0.00000
   -73.02850     0.00000     0.00000     0.00000     0.00000
   -73.01750     0.00000     0.00000     0.00000     0.00000
   -73.00750     0.00000     0.00000     0.00000     0.00000
   -72.99650     0.00000     0.00000     0.00000     0.00000
   -72.98550     0.00000     0.00000     0.00000     0.00000
   -72.97550     0.00000     0.00000     0.00000     0.00000
   -72.96450     0.00000     0.00000     0.00000     0.00000
   -72.95450     0.00000     0.00000     0.00000     0.00000
   -72.94350     0.00000     0.00000     0.00000     0.00000
   -72.93250     0.00000     0.00000     0.00000     0.00000
   -72.92250     0.00000     0.00000     0.00000     0.00000
   -72.91150     0.00000     0.00000     0.00000     0.00000
   -72.90150     0.00000     0.00000     0.00000     0.00000
   -72.89050     0.00000     0.00000     0.00000     0.00000
   -72.87950     0.00000     0.00000     0.00000     0.00000
   -72.86950     0.00000     0.00000     0.00000     0.00000
   -72.85850     0.00000     0.00000     0.00000     0.00000
   -72.84850     0.00000     0.00000     0.00000     0.00000
   -72.83750     0.00000     0.00000     0.00000     0.00000
   -72.82650     0.00000     0.00000     0.00000     0.00000
   -72.81650     0.00000     0.00000     0.00000     0.00000
   -72.80550     0.00000     0.00000     0.00000     0.00000
   -72.79550     0.00000     0.00000     0.00000     0.00000
   -72.78450     0.00000     0.00000     0.00000     0.00000
   -72.77350     0.00000     0.00000     0.00000     0.00000
   -72.76350     0.00000     0.00000     0.00000     0.00000
   -72.75250     0.00000     0.00000     0.00000     0.00000
   -72.74250     0.00000     0.00000     0.00000     0.00000
   -72.73150     0.00000     0.00000     0.00000     0.00000
   -72.72050     0.00000     0.00000     0.00000     0.00000
   -72.71050     0.00000     0.00000     0.00000     0.00000
   -72.69950     0.00000     0.00000     0.00000     0.00000
   -72.68950     0.00000     0.00000     0.00000     0.00000
   -72.67850     0.00000     0.00000     0.00000     0.00000
   -72.66750     0.00000     0.00000     0.00000     0.00000
   -72.65750     0.00000     0.00000     0.00000     0.00000
