     #Energy       W_all      Mo_all      Ti_all      Ir_all
   -73.40982     0.00000     0.00000     0.00000     0.00000
   -73.39982     0.00000     0.00000     0.00000     0.00000
   -73.38882     0.00000     0.00000     0.00000     0.00000
   -73.37782     0.00000     0.00000     0.00000     0.00000
   -73.36782     0.00000     0.00000     0.00000     0.00000
   -73.35682     0.00000     0.00000     0.00000     0.00000
   -73.34582     0.00000     0.00000     0.00000     0.00000
   -73.33582     0.00000     0.00000     0.00000     0.00000
   -73.32482     0.00000     0.00000     0.00000     0.00000
   -73.31382     0.00000     0.00000     0.00000     0.00000
   -73.30382     0.00000     0.00000     0.00000     0.00000
   -73.29282     0.00000     0.00000     0.00000     0.00000
   -73.28182     0.00000     0.00000     0.00000     0.00000
   -73.27182     0.00000     0.00000     0.00000     0.00000
   -73.26082     0.00000     0.00000     0.00000     0.00000
   -73.24982     0.00000     0.00000     0.00000     0.00000
   -73.23982     0.00000     0.00000     0.00000     0.00000
   -73.22882     0.00000     0.00000     0.00000     0.00000
   -73.21782     0.00000     0.00000     0.00000     0.00000
   -73.20782     0.00000     0.00000     0.00000     0.00000
   -73.19682     0.00000     0.00000     0.00000     0.00000
   -73.18582     0.00000     0.00000     0.00000     0.00000
   -73.17582     0.00000     0.00000     0.00000     0.00000
   -73.16482     0.00000     0.00000     0.00000     0.00000
   -73.15382     0.00000     0.00000     0.00000     0.00000
   -73.14382     0.00000     0.00000     0.00000     0.00000
   -73.13282     0.00000     0.00000     0.00000     0.00000
   -73.12182     0.00000     0.00000     0.00000     0.00000
   -73.11182     0.00000     0.00000     0.00000     0.00000
   -73.10082     0.00000     0.00000     0.00000     0.00000
   -73.08982     0.00000     0.00000     0.00000     0.00000
   -73.07982     0.00000     0.00000     0.00000     0.00000
   -73.06882     0.00000     0.00000     0.00000     0.00000
   -73.05782     0.00000     0.00000     0.00000     0.00000
   -73.04782     0.00000     0.00000     0.00000     0.00000
   -73.03682     0.00000     0.00000     0.00000     0.00000
   -73.02582     0.00000     0.00000     0.00000     0.00000
   -73.01582     0.00000     0.00000     0.00000     0.00000
   -73.00482     0.00000     0.00000     0.00000     0.00000
   -72.99382     0.00000     0.00000     0.00000     0.00000
   -72.98382     0.00000     0.00000     0.00000     0.00000
   -72.97282     0.00000     0.00000     0.00000     0.00000
   -72.96182     0.00000     0.00000     0.00000     0.00000
   -72.95182     0.00000     0.00000     0.00000     0.00000
   -72.94082     0.00000     0.00000     0.00000     0.00000
   -72.92982     0.00000     0.00000     0.00000     0.00000
   -72.91982     0.00000     0.00000     0.00000     0.00000
   -72.90882     0.00000     0.00000     0.00000     0.00000
   -72.89782     0.00000     0.00000     0.00000     0.00000
   -72.88782     0.00000     0.00000     0.00000     0.00000
   -72.87682     0.00000     0.00000     0.00000     0.00000
   -72.86582     0.00000     0.00000     0.00000     0.00000
   -72.85582     0.00000     0.00000     0.00000     0.00000
   -72.84482     0.00000     0.00000     0.00000     0.00000
   -72.83482     0.00000     0.00000     0.00000     0.00000
   -72.82382     0.00000     0.00000     0.00000     0.00000
   -72.81282     0.00000     0.00000     0.00000     0.00000
   -72.80282     0.00000     0.00000     0.00000     0.00000
   -72.79182     0.00000     0.00000     0.00000     0.00000
   -72.78082     0.00000     0.00000     0.00000     0.00000
   -72.77082     0.00000     0.00000     0.00000     0.00000
   -72.75982     0.00000     0.00000     0.00000     0.00000
   -72.74882     0.00000     0.00000     0.00000     0.00000
   -72.73882     0.00000     0.00000     0.00000     0.00000
   -72.72782     0.00000     0.00000     0.00000     0.00000
   -72.71682     0.00000     0.00000     0.00000     0.00000
   -72.70682     0.00000     0.00000     0.00000     0.00000
   -72.69582     0.00000     0.00000     0.00000     0.00000
   -72.68482     0.00000     0.00000     0.00000     0.00000
   -72.67482     0.00000     0.00000     0.00000     0.00000
