     #Energy       W_all      Mo_all      Ti_all
   -76.85162     0.00000     0.00000     0.00000
   -76.84162     0.00000     0.00000     0.00000
   -76.83062     0.00000     0.00000     0.00000
   -76.82062     0.00000     0.00000     0.00000
   -76.80962     0.00000     0.00000     0.00000
   -76.79862     0.00000     0.00000     0.00000
   -76.78862     0.00000     0.00000     0.00000
   -76.77762     0.00000     0.00000     0.00000
   -76.76762     0.00000     0.00000     0.00000
   -76.75662     0.00000     0.00000     0.00000
   -76.74562     0.00000     0.00000     0.00000
   -76.73562     0.00000     0.00000     0.00000
   -76.72462     0.00000     0.00000     0.00000
   -76.71462     0.00000     0.00000     0.00000
   -76.70362     0.00000     0.00000     0.00000
   -76.69362     0.00000     0.00000     0.00000
   -76.68262     0.00000     0.00000     0.00000
   -76.67162     0.00000     0.00000     0.00000
   -76.66162     0.00000     0.00000     0.00000
   -76.65062     0.00000     0.00000     0.00000
   -76.64062     0.00000     0.00000     0.00000
   -76.62962     0.00000     0.00000     0.00000
   -76.61962     0.00000     0.00000     0.00000
   -76.60862     0.00000     0.00000     0.00000
   -76.59762     0.00000     0.00000     0.00000
   -76.58762     0.00000     0.00000     0.00000
   -76.57662     0.00000     0.00000     0.00000
   -76.56662     0.00000     0.00000     0.00000
   -76.55562     0.00000     0.00000     0.00000
   -76.54562     0.00000     0.00000     0.00000
   -76.53462     0.00000     0.00000     0.00000
   -76.52362     0.00000     0.00000     0.00000
   -76.51362     0.00000     0.00000     0.00000
   -76.50262     0.00000     0.00000     0.00000
   -76.49262     0.00000     0.00000     0.00000
   -76.48162     0.00000     0.00000     0.00000
   -76.47162     0.00000     0.00000     0.00000
   -76.46062     0.00000     0.00000     0.00000
   -76.44962     0.00000     0.00000     0.00000
   -76.43962     0.00000     0.00000     0.00000
   -76.42862     0.00000     0.00000     0.00000
   -76.41862     0.00000     0.00000     0.00000
   -76.40762     0.00000     0.00000     0.00000
   -76.39762     0.00000     0.00000     0.00000
   -76.38662     0.00000     0.00000     0.00000
   -76.37562     0.00000     0.00000     0.00000
   -76.36562     0.00000     0.00000     0.00000
   -76.35462     0.00000     0.00000     0.00000
   -76.34462     0.00000     0.00000     0.00000
   -76.33362     0.00000     0.00000     0.00000
   -76.32362     0.00000     0.00000     0.00000
   -76.31262     0.00000     0.00000     0.00000
   -76.30162     0.00000     0.00000     0.00000
   -76.29162     0.00000     0.00000     0.00000
   -76.28062     0.00000     0.00000     0.00000
   -76.27062     0.00000     0.00000     0.00000
   -76.25962     0.00000     0.00000     0.00000
   -76.24962     0.00000     0.00000     0.00000
   -76.23862     0.00000     0.00000     0.00000
   -76.22762     0.00000     0.00000     0.00000
   -76.21762     0.00000     0.00000     0.00000
   -76.20662     0.00000     0.00000     0.00000
   -76.19662     0.00000     0.00000     0.00000
   -76.18562     0.00000     0.00000     0.00000
