     #Energy       W_all      Mo_all      Rh_all      Hf_all
   -74.01573     0.00000     0.00000     0.00000     0.00000
   -74.00573   184.27852     0.00437     0.00080     0.00051
   -73.99473     0.00000     0.00000     0.00000     0.00000
   -73.98373   184.38285     0.00403     0.00071     0.00060
   -73.97273     0.00000     0.00000     0.00000     0.00000
   -73.96173     0.00000     0.00000     0.00000     0.00000
   -73.95073   184.27662     0.00417     0.00126     0.00149
   -73.94073     0.00000     0.00000     0.00000     0.00000
   -73.92973     0.00000     0.00000     0.00000     0.00000
   -73.91873     0.00000     0.00000     0.00000     0.00000
   -73.90773   184.32058     0.00602     0.00090     0.00177
   -73.89673     0.00000     0.00000     0.00000     0.00000
   -73.88673     0.00000     0.00000     0.00000     0.00000
   -73.87573   184.41649     0.00648     0.00092     0.00199
   -73.86473   184.28391     0.00338     0.00006     0.00115
   -73.85373     0.00000     0.00000     0.00000     0.00000
   -73.84273   184.32548     0.00230     0.00004     0.00134
   -73.83173   184.32361     0.00656     0.00045     0.00368
   -73.82173   184.33857     0.00489     0.00038     0.00248
   -73.81073     0.00000     0.00000     0.00000     0.00000
   -73.79973   184.41545     0.00535     0.00001     0.00150
   -73.78873     0.00000     0.00000     0.00000     0.00000
   -73.77773     0.00000     0.00000     0.00000     0.00000
   -73.76673     0.00000     0.00000     0.00000     0.00000
   -73.75673     0.00000     0.00000     0.00000     0.00000
   -73.74573     0.00000     0.00000     0.00000     0.00000
   -73.73473     0.00000     0.00000     0.00000     0.00000
   -73.72373     0.00000     0.00000     0.00000     0.00000
   -73.71273     0.00000     0.00000     0.00000     0.00000
   -73.70173     0.00000     0.00000     0.00000     0.00000
   -73.69173     0.00000     0.00000     0.00000     0.00000
   -73.68073     0.00000     0.00000     0.00000     0.00000
   -73.66973     0.00000     0.00000     0.00000     0.00000
   -73.65873     0.00000     0.00000     0.00000     0.00000
   -73.64773     0.00000     0.00000     0.00000     0.00000
   -73.63773     0.00000     0.00000     0.00000     0.00000
   -73.62673     0.00000     0.00000     0.00000     0.00000
   -73.61573     0.00000     0.00000     0.00000     0.00000
   -73.60473     0.00000     0.00000     0.00000     0.00000
   -73.59373     0.00000     0.00000     0.00000     0.00000
   -73.58273     0.00000     0.00000     0.00000     0.00000
   -73.57273     0.00000     0.00000     0.00000     0.00000
   -73.56173     0.00000     0.00000     0.00000     0.00000
   -73.55073     0.00000     0.00000     0.00000     0.00000
   -73.53973     0.00000     0.00000     0.00000     0.00000
   -73.52873     0.00000     0.00000     0.00000     0.00000
   -73.51773     0.00000     0.00000     0.00000     0.00000
   -73.50773     0.00000     0.00000     0.00000     0.00000
   -73.49673     0.00000     0.00000     0.00000     0.00000
   -73.48573     0.00000     0.00000     0.00000     0.00000
