     #Energy       W_all      Mo_all      Ru_all      Zr_all
   -73.22678     0.00000     0.00000     0.00000     0.00000
   -73.21578     0.00000     0.00000     0.00000     0.00000
   -73.20478     0.00000     0.00000     0.00000     0.00000
   -73.19378     0.00000     0.00000     0.00000     0.00000
   -73.18378     0.00000     0.00000     0.00000     0.00000
   -73.17278     0.00000     0.00000     0.00000     0.00000
   -73.16178     0.00000     0.00000     0.00000     0.00000
   -73.15078     0.00000     0.00000     0.00000     0.00000
   -73.14078     0.00000     0.00000     0.00000     0.00000
   -73.12978     0.00000     0.00000     0.00000     0.00000
   -73.11878     0.00000     0.00000     0.00000     0.00000
   -73.10778     0.00000     0.00000     0.00000     0.00000
   -73.09778     0.00000     0.00000     0.00000     0.00000
   -73.08678     0.00000     0.00000     0.00000     0.00000
   -73.07578     0.00000     0.00000     0.00000     0.00000
   -73.06478     0.00000     0.00000     0.00000     0.00000
   -73.05478     0.00000     0.00000     0.00000     0.00000
   -73.04378     0.00000     0.00000     0.00000     0.00000
   -73.03278     0.00000     0.00000     0.00000     0.00000
   -73.02178     0.00000     0.00000     0.00000     0.00000
   -73.01178     0.00000     0.00000     0.00000     0.00000
   -73.00078     0.00000     0.00000     0.00000     0.00000
   -72.98978     0.00000     0.00000     0.00000     0.00000
   -72.97878     0.00000     0.00000     0.00000     0.00000
   -72.96878     0.00000     0.00000     0.00000     0.00000
   -72.95778     0.00000     0.00000     0.00000     0.00000
   -72.94678     0.00000     0.00000     0.00000     0.00000
   -72.93578     0.00000     0.00000     0.00000     0.00000
   -72.92578     0.00000     0.00000     0.00000     0.00000
   -72.91478     0.00000     0.00000     0.00000     0.00000
   -72.90378     0.00000     0.00000     0.00000     0.00000
   -72.89278     0.00000     0.00000     0.00000     0.00000
   -72.88278     0.00000     0.00000     0.00000     0.00000
   -72.87178     0.00000     0.00000     0.00000     0.00000
   -72.86078     0.00000     0.00000     0.00000     0.00000
   -72.84978     0.00000     0.00000     0.00000     0.00000
   -72.83978     0.00000     0.00000     0.00000     0.00000
   -72.82878     0.00000     0.00000     0.00000     0.00000
   -72.81778     0.00000     0.00000     0.00000     0.00000
   -72.80678     0.00000     0.00000     0.00000     0.00000
   -72.79678     0.00000     0.00000     0.00000     0.00000
   -72.78578     0.00000     0.00000     0.00000     0.00000
   -72.77478     0.00000     0.00000     0.00000     0.00000
   -72.76378     0.00000     0.00000     0.00000     0.00000
   -72.75378     0.00000     0.00000     0.00000     0.00000
   -72.74278     0.00000     0.00000     0.00000     0.00000
   -72.73178     0.00000     0.00000     0.00000     0.00000
   -72.72078     0.00000     0.00000     0.00000     0.00000
   -72.71078     0.00000     0.00000     0.00000     0.00000
   -72.69978     0.00000     0.00000     0.00000     0.00000
   -72.68878     0.00000     0.00000     0.00000     0.00000
   -72.67778     0.00000     0.00000     0.00000     0.00000
   -72.66778     0.00000     0.00000     0.00000     0.00000
   -72.65678     0.00000     0.00000     0.00000     0.00000
   -72.64578     0.00000     0.00000     0.00000     0.00000
   -72.63478     0.00000     0.00000     0.00000     0.00000
   -72.62478     0.00000     0.00000     0.00000     0.00000
   -72.61378     0.00000     0.00000     0.00000     0.00000
   -72.60278     0.00000     0.00000     0.00000     0.00000
   -72.59178     0.00000     0.00000     0.00000     0.00000
   -72.58178     0.00000     0.00000     0.00000     0.00000
   -72.57078     0.00000     0.00000     0.00000     0.00000
   -72.55978     0.00000     0.00000     0.00000     0.00000
   -72.54878     0.00000     0.00000     0.00000     0.00000
