     #Energy       W_all      Mo_all      Ti_all      Pd_all
   -72.58702     0.00000     0.00000     0.00000     0.00000
   -72.57702     0.00000     0.00000     0.00000     0.00000
   -72.56602     0.00000     0.00000     0.00000     0.00000
   -72.55502     0.00000     0.00000     0.00000     0.00000
   -72.54502     0.00000     0.00000     0.00000     0.00000
   -72.53402     0.00000     0.00000     0.00000     0.00000
   -72.52402     0.00000     0.00000     0.00000     0.00000
   -72.51302     0.00000     0.00000     0.00000     0.00000
   -72.50202     0.00000     0.00000     0.00000     0.00000
   -72.49202     0.00000     0.00000     0.00000     0.00000
   -72.48102     0.00000     0.00000     0.00000     0.00000
   -72.47102     0.00000     0.00000     0.00000     0.00000
   -72.46002     0.00000     0.00000     0.00000     0.00000
   -72.45002     0.00000     0.00000     0.00000     0.00000
   -72.43902     0.00000     0.00000     0.00000     0.00000
   -72.42802     0.00000     0.00000     0.00000     0.00000
   -72.41802     0.00000     0.00000     0.00000     0.00000
   -72.40702     0.00000     0.00000     0.00000     0.00000
   -72.39702     0.00000     0.00000     0.00000     0.00000
